Activity,Name,Address,Mon hrs,Tue hrs,Wed hrs,Thu hrs,Fri hrs,Coordinates,,
Food,The University Club,"401 Joe Routt Blvd, College",11:00 am - 1:30 pm,11:00 am - 1:30 pm,11:00 am - 1:30 pm,11:00 am - 1:30 pm,11:00 am - 1:30 pm,"30.61285, -96.34022",,
Food,Whoop Coop,"408 Spence St, College Station, TX",11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,"30.61672, -96.33809",,
Food,Aggie Express,"440 Lubbock St, College Station, TX",7:00 am - 2:00 am,7:00 am - 2:00 am,7:00 am - 2:00 am,7:00 am - 2:00 am,7:00 am - 11:00 pm,"30.61520, -96.33564",,
Food,Starbucks Coffee,"546 Coke St, College Station, TX ",7:00 am - 8:00 pm,7:00 am - 8:00 pm,7:00 am - 8:00 pm,7:00 am - 8:00 pm,7:00 am - 6:00 pm,"30.61358, -96.33743",,
Food,Houston Street Subs,"676 Lubbock St, College Station, TX ",10:00 am - 8:00 am ,10:00 am - 8:00 am ,10:00 am - 8:00 am ,10:00 am - 8:00 am ,10:00 am - 8:00 am ,"30.61564, -96.33610",,
Food,Azimuth Cafe,"798 Ross St, College Station, TX",7:30 am - 3:00 pm,11:00 am - 3:00 pm,7:30 am - 3:00 pm,7:30 am - 3:00 pm,7:30 am - 3:00 pm,"30.61903, -96.33754",,
Food,Food Truck Row,"199 Spence St, College Station, TX",11:00 am - 3:00 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm,11:00 am - 3:00 pm,"30.62059, -96.34036",,
Food,Houston Street Subs,"300 Polo Rd, College Station, TX",8:00 am - 3:00 pm,8:00 - 3:00 pm,8:00 - 3:00 pm,8:00 - 3:00 pm,8:00 - 3:00 pm,"30.62285, -96.33800",,
Food,Market at Polo Garage,"260 Polo Rd, College Station, TX",8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,8:00 am - 10:00 pm,"30.62285, -96.33800",,
Food,Panda Express,"300 Polo Rd, College Station, TX",10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,10:00 am - 9:00 pm,"30.62285, -96.33800",,
Food,Salata,"300 Polo Rd, College Station, TX",11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,11:00 am - 8:00 pm,"30.62285, -96.33800",,
Food,Shake Smart,"300 Polo Rd, College Station, TX",8:00 am - 9:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm,8:00 am - 9:00 pm,"30.62285, -96.33800",,
Food,Starbucks Coffee,"125 Spence St, College Station, TX ",7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 5:00 pm,"30.62107, -96.34057",,
Food,Reynolds and Reynolds Cafe,"256 Olsen Blvd, College Station, TX ",8:00 am - 2:00 pm,8:00 am - 2:00 pm,8:00 am - 2:00 pm,8:00 am - 2:00 pm,8:00 am - 2:00 pm,"30.61137, -96.34963",,
Food,Chick-Fil-A,"336 Olsen Blvd, College Station, TX ",10:00 am - 6:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm,10:00 am - 6:00 pm,10:00 am - 3:00 pm,"30.61036, -96.34850",,
Food,Copperhead Jack's,"336 Olsen Blvd, College Station, TX ",10:30 am - 3:00 pm,10:30 am - 3:00 pm,10:30 am - 3:00 pm,10:30 am - 3:00 pm,10:30 am - 3:00 pm,"30.61036, -96.34850",,
Food,The Kitchen - Creekside Market,"667 W Campus Blvd, College Station, TX ",5:00 pm - 10:00 pm,5:00 pm - 10:00 pm,5:00 pm - 10:00 pm,5:00 pm - 10:00 pm,Closed,"30.60764, -95.35387",,
Food,Spin  'N Stone Pasta,"667 W Campus Blvd, College Station, TX ",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,"30.60764, -95.35387",,
Food,Spin  'N Stone Pizza,"667 W Campus Blvd, College Station, TX ",11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,11:00 am - 10:00 pm,"30.60764, -95.35387",,
Food,Wild Blue Sushi,"667 W Campus Blvd, College Station, TX ",11:00 am - 2:00 pm,11:00 am - 2:00 pm,11:00 am - 2:00 pm,11:00 am - 2:00 pm,11:00 am - 2:00 pm,"30.60764, -95.35387",,
Food,Health Science Center Cafe,"8441 Riverside Pkwy, Bryan, TX",7:30 am - 2:30 pm,7:30 am - 2:30 pm,7:30 am - 2:30 pm,7:30 am - 2:30 pm,7:30 am - 2:00 pm,"30.59877, -96.39562",,
Food,Houston Street Deli,"1425 Bryan Rd, Bryan, TX",7:30 am - 3:00 pm,7:30 am - 3:00 pm,7:30 am - 3:00 pm,7:30 am - 3:00 pm,7:30 am - 1:30 pm,"30.64133, -96.46663",,
Food,Houston Street Subs,"336 Olsen Blvd, College Station, TX ",10:00 am - 2:30 pm,10:00 am - 2:30 pm,10:00 am - 2:30 pm,10:00 am - 2:30 pm,10:00 am - 2:30 pm,"30.61022, -96.34864",,
Food,Ag Cafe,"336 Olsen Blvd, College Station, TX ",7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 5:00 pm,"30.61022, -96.34864",,
Food,Shake Smart,"336 Olsen Blvd, College Station, TX ",8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 5:00 pm,8:00 am - 3:00 pm,"30.61022, -96.34864",,
Food,Starbucks Coffee,"336 Olsen Blvd, College Station, TX ",7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 7:00 pm,7:30 am - 5:00 pm,"30.61022, -96.34864",,
Food ,Shake Smart,"187 Corrington Dr, College Station, TX ",7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,"30.60741, -96.34272",,
Food ,The 41st Club,"1004 George Bush Dr W, College Station, TX ",7:30 am - 2:00 pm,7:30 am - 2:00 pm,7:30 am - 2:00 pm,7:30 am - 2:00 pm,7:30 am - 2:00 pm,"30.59763, -96.35261",,
Food ,Vet Med Cafe,"660 Raymond Stotzer Pkwy, College Station, TX ",7:30 am - 2:30 pm,7:30 am - 2:30 pm,7:30 am - 2:30 pm,7:30 am - 2:30 pm,7:30 am - 2:00 pm,"30.61188, -96.35686",,
Exercise,Student Rec Center,"187 Corrington Dr, College Station, TX ",6:00 am - 11:59 pm,6:00 am - 11:59 pm,6:00 am - 11:59 pm,6:00 am - 11:59 pm,6:00 am - 11:00 pm,"30.60740,-96.34279",,
Exercise,Southside Rec Center,"633 Bizzell St, College Station, TX ",5:30 am - 11:59 pm,5:30 am - 11:59 pm,5:30 am - 11:59 pm,5:30 am - 11:59 pm,5:30 am - 11:00 pm,"30.61581, -96.33359",,
Exercise,Polo Road Rec Center,"322 Polo Rd, College Station, TX ",6:00 am - 9:00 pm,6:00 am - 9:00 pm,6:00 am - 9:00 pm,6:00 am - 9:00 pm,6:00 am - 9:00 pm,"30.62310, -96.33835",,
